ID,SOURCE,ORIGIN_CURRENCY,TARGET_CURRENCY,EXCHANGE_RATE,REPORT_DATE,MODIFIED_DATE
1,ECB,USD,EUR,1.0683,2023-05-31,2023-08-01
2,ECB,JPY,EUR,149.13,2023-05-31,2023-08-01
3,ECB,BGN,EUR,1.9558,2023-05-31,2023-08-01
4,ECB,CZK,EUR,23.741,2023-05-31,2023-08-01
5,ECB,DKK,EUR,7.448,2023-05-31,2023-08-01
6,ECB,GBP,EUR,0.86405,2023-05-31,2023-08-01
7,ECB,HUF,EUR,370.85,2023-05-31,2023-08-01
8,ECB,PLN,EUR,4.5368,2023-05-31,2023-08-01
9,ECB,RON,EUR,4.9695,2023-05-31,2023-08-01
10,ECB,SEK,EUR,11.6278,2023-05-31,2023-08-01
11,ECB,CHF,EUR,0.9724,2023-05-31,2023-08-01
12,ECB,ISK,EUR,149.7,2023-05-31,2023-08-01
13,ECB,NOK,EUR,12.0045,2023-05-31,2023-08-01
14,ECB,HRK,EUR,7.5365,2022-12-30,2023-08-01
15,ECB,RUB,EUR,117.201,2022-03-01,2023-08-01
16,ECB,TRY,EUR,22.132,2023-05-31,2023-08-01
17,ECB,AUD,EUR,1.6497,2023-05-31,2023-08-01
18,ECB,BRL,EUR,5.4288,2023-05-31,2023-08-01
19,ECB,CAD,EUR,1.4582,2023-05-31,2023-08-01
20,ECB,CNY,EUR,7.5926,2023-05-31,2023-08-01
21,ECB,HKD,EUR,8.3696,2023-05-31,2023-08-01
22,ECB,IDR,EUR,16030.39,2023-05-31,2023-08-01
23,ECB,ILS,EUR,3.9713,2023-05-31,2023-08-01
24,ECB,INR,EUR,88.34,2023-05-31,2023-08-01
25,ECB,KRW,EUR,1416.29,2023-05-31,2023-08-01
26,ECB,MXN,EUR,18.9263,2023-05-31,2023-08-01
27,ECB,MYR,EUR,4.9307,2023-05-31,2023-08-01
28,ECB,NZD,EUR,1.7793,2023-05-31,2023-08-01
29,ECB,PHP,EUR,60.053,2023-05-31,2023-08-01
30,ECB,SGD,EUR,1.4467,2023-05-31,2023-08-01
31,ECB,THB,EUR,37.134,2023-05-31,2023-08-01
32,ECB,ZAR,EUR,21.1353,2023-05-31,2023-08-01
